Age_Group,merged_symptom,MDCARE_YM,COUNT
3,J06,200401,15109
3,J06,200402,13743
3,J06,200403,23184
3,J06,200404,18911
3,J06,200405,14404
3,J06,200406,11838
3,J06,200407,9467
3,J06,200408,9905
3,J06,200409,15171
3,J06,200410,21327
3,J06,200411,17974
3,J06,200412,19308
3,J06,200501,16259
3,J06,200502,11553
3,J06,200503,16731
3,J06,200504,20561
3,J06,200505,17592
3,J06,200506,11888
3,J06,200507,9614
3,J06,200508,10056
3,J06,200509,15141
3,J06,200510,21856
3,J06,200511,20229
3,J06,200512,25540
3,J06,200601,21519
3,J06,200602,15715
3,J06,200603,19412
3,J06,200604,20343
3,J06,200605,17194
3,J06,200606,12107
3,J06,200607,9583
3,J06,200608,9474
3,J06,200609,16853
3,J06,200610,16189
3,J06,200611,20473
3,J06,200612,23311
3,J06,200701,26486
3,J06,200702,13647
3,J06,200703,16154
3,J06,200704,19996
3,J06,200705,16320
3,J06,200706,12305
3,J06,200707,11780
3,J06,200708,11583
3,J06,200709,20127
3,J06,200710,24044
3,J06,200711,27383
3,J06,200712,30134
3,J06,200801,28047
3,J06,200802,24148
3,J06,200803,24301
3,J06,200804,23314
3,J06,200805,19682
3,J06,200806,15214
3,J06,200807,12443
3,J06,200808,12217
3,J06,200809,18699
3,J06,200810,23306
3,J06,200811,22476
3,J06,200812,35447
3,J06,200901,29565
3,J06,200902,14767
3,J06,200903,19940
3,J06,200904,25810
3,J06,200905,21342
3,J06,200906,15935
3,J06,200907,13623
3,J06,200908,18807
3,J06,200909,31342
3,J06,200910,38860
3,J06,200911,47119
3,J06,200912,33650
3,J06,201001,26456
3,J06,201002,19524
3,J06,201003,26580
3,J06,201004,36473
3,J06,201005,24949
3,J06,201006,18068
3,J06,201007,14562
3,J06,201008,13161
3,J06,201009,24988
3,J06,201010,29931
3,J06,201011,26033
3,J06,201012,37795
3,J06,201101,28311
3,J06,201102,18798
3,J06,201103,25739
3,J06,201104,24966
3,J06,201105,21426
3,J06,201106,15967
3,J06,201107,12631
3,J06,201108,14488
3,J06,201109,23926
3,J06,201110,26204
3,J06,201111,26369
3,J06,201112,28685
3,J06,201201,28090
3,J06,201202,27263
3,J06,201203,30794
3,J06,201204,29632
3,J06,201205,24899
3,J06,201206,15833
3,J06,201207,12777
3,J06,201208,12948
3,J06,201209,22824
3,J06,201210,27676
3,J06,201211,24497
3,J06,201212,22186
3,J06,201301,27452
3,J06,201302,24263
3,J06,201303,27219
3,J06,201304,28044
3,J06,201305,22418
3,J06,201306,14529
3,J06,201307,13385
3,J06,201308,14654
3,J06,201309,22220
3,J06,201310,25558
3,J06,201311,26549
3,J06,201312,22463
