CTRB_Group,merged_symptom,MDCARE_YM,COUNT
2,J01,200401,39620
2,J01,200402,36284
2,J01,200403,50455
2,J01,200404,48732
2,J01,200405,43179
2,J01,200406,35034
2,J01,200407,26780
2,J01,200408,23805
2,J01,200409,39480
2,J01,200410,51481
2,J01,200411,50561
2,J01,200412,54051
2,J01,200501,40388
2,J01,200502,33301
2,J01,200503,47816
2,J01,200504,55005
2,J01,200505,49794
2,J01,200506,33904
2,J01,200507,26557
2,J01,200508,25966
2,J01,200509,40898
2,J01,200510,55956
2,J01,200511,57474
2,J01,200512,70138
2,J01,200601,50230
2,J01,200602,40396
2,J01,200603,46461
2,J01,200604,49662
2,J01,200605,41845
2,J01,200606,31411
2,J01,200607,23312
2,J01,200608,22110
2,J01,200609,42197
2,J01,200610,38916
2,J01,200611,48407
2,J01,200612,49789
2,J01,200701,44139
2,J01,200702,34416
2,J01,200703,40675
2,J01,200704,46113
2,J01,200705,38642
2,J01,200706,41034
2,J01,200707,38725
2,J01,200708,32577
2,J01,200709,57535
2,J01,200710,78777
2,J01,200711,89532
2,J01,200712,90886
2,J01,200801,76566
2,J01,200802,78074
2,J01,200803,81088
2,J01,200804,83944
2,J01,200805,73611
2,J01,200806,56994
2,J01,200807,39316
2,J01,200808,36119
2,J01,200809,57862
2,J01,200810,78084
2,J01,200811,83300
2,J01,200812,106341
2,J01,200901,80605
2,J01,200902,64387
2,J01,200903,84105
2,J01,200904,94868
2,J01,200905,73002
2,J01,200906,55735
2,J01,200907,43494
2,J01,200908,48740
2,J01,200909,82812
2,J01,200910,98005
2,J01,200911,94241
2,J01,200912,93322
2,J01,201001,71142
2,J01,201002,63867
2,J01,201003,88306
2,J01,201004,102173
2,J01,201005,83136
2,J01,201006,63666
2,J01,201007,48144
2,J01,201008,38854
2,J01,201009,66921
2,J01,201010,90218
2,J01,201011,97167
2,J01,201012,101222
2,J01,201101,77091
2,J01,201102,64584
2,J01,201103,87479
2,J01,201104,85679
2,J01,201105,74415
2,J01,201106,55062
2,J01,201107,41487
2,J01,201108,44678
2,J01,201109,71934
2,J01,201110,86011
2,J01,201111,83875
2,J01,201112,98139
2,J01,201201,86488
2,J01,201202,86861
2,J01,201203,94349
2,J01,201204,92597
2,J01,201205,82405
2,J01,201206,54446
2,J01,201207,42686
2,J01,201208,41438
2,J01,201209,76456
2,J01,201210,89823
2,J01,201211,94495
2,J01,201212,85799
2,J01,201301,81738
2,J01,201302,82420
2,J01,201303,93987
2,J01,201304,98108
2,J01,201305,79568
2,J01,201306,55245
2,J01,201307,45483
2,J01,201308,46319
2,J01,201309,74633
2,J01,201310,86294
2,J01,201311,96594
2,J01,201312,88895
