RVSN_Group,merged_symptom,MDCARE_YM,COUNT
2,J05,200401,46
2,J05,200402,56
2,J05,200403,88
2,J05,200404,72
2,J05,200405,76
2,J05,200406,77
2,J05,200407,82
2,J05,200408,49
2,J05,200409,59
2,J05,200410,93
2,J05,200411,91
2,J05,200412,108
2,J05,200501,67
2,J05,200502,73
2,J05,200503,97
2,J05,200504,101
2,J05,200505,140
2,J05,200506,82
2,J05,200507,60
2,J05,200508,48
2,J05,200509,94
2,J05,200510,89
2,J05,200511,91
2,J05,200512,102
2,J05,200601,87
2,J05,200602,69
2,J05,200603,107
2,J05,200604,186
2,J05,200605,216
2,J05,200606,162
2,J05,200607,105
2,J05,200608,80
2,J05,200609,143
2,J05,200610,97
2,J05,200611,116
2,J05,200612,103
2,J05,200701,128
2,J05,200702,82
2,J05,200703,131
2,J05,200704,163
2,J05,200705,121
2,J05,200706,152
2,J05,200707,122
2,J05,200708,89
2,J05,200709,175
2,J05,200710,173
2,J05,200711,154
2,J05,200712,201
2,J05,200801,184
2,J05,200802,192
2,J05,200803,169
2,J05,200804,131
2,J05,200805,167
2,J05,200806,110
2,J05,200807,75
2,J05,200808,75
2,J05,200809,142
2,J05,200810,157
2,J05,200811,191
2,J05,200812,238
2,J05,200901,187
2,J05,200902,105
2,J05,200903,129
2,J05,200904,135
2,J05,200905,140
2,J05,200906,94
2,J05,200907,78
2,J05,200908,85
2,J05,200909,101
2,J05,200910,133
2,J05,200911,138
2,J05,200912,158
2,J05,201001,134
2,J05,201002,157
2,J05,201003,186
2,J05,201004,272
2,J05,201005,188
2,J05,201006,162
2,J05,201007,154
2,J05,201008,132
2,J05,201009,147
2,J05,201010,199
2,J05,201011,200
2,J05,201012,156
2,J05,201101,147
2,J05,201102,114
2,J05,201103,153
2,J05,201104,178
2,J05,201105,218
2,J05,201106,181
2,J05,201107,115
2,J05,201108,94
2,J05,201109,135
2,J05,201110,171
2,J05,201111,174
2,J05,201112,223
2,J05,201201,173
2,J05,201202,176
2,J05,201203,161
2,J05,201204,195
2,J05,201205,158
2,J05,201206,128
2,J05,201207,142
2,J05,201208,223
2,J05,201209,181
2,J05,201210,141
2,J05,201211,126
2,J05,201212,102
2,J05,201301,127
2,J05,201302,149
2,J05,201303,160
2,J05,201304,138
2,J05,201305,108
2,J05,201306,110
2,J05,201307,100
2,J05,201308,105
2,J05,201309,132
2,J05,201310,142
2,J05,201311,120
2,J05,201312,93
