RVSN_Group,merged_symptom,MDCARE_YM,COUNT
5,J01,200401,35163
5,J01,200402,34085
5,J01,200403,44364
5,J01,200404,41512
5,J01,200405,34794
5,J01,200406,28936
5,J01,200407,21152
5,J01,200408,19540
5,J01,200409,33001
5,J01,200410,43137
5,J01,200411,42594
5,J01,200412,46760
5,J01,200501,36287
5,J01,200502,33139
5,J01,200503,46232
5,J01,200504,50358
5,J01,200505,43044
5,J01,200506,28923
5,J01,200507,23156
5,J01,200508,22608
5,J01,200509,35867
5,J01,200510,49594
5,J01,200511,54124
5,J01,200512,66762
5,J01,200601,46509
5,J01,200602,40826
5,J01,200603,43273
5,J01,200604,46015
5,J01,200605,37995
5,J01,200606,26749
5,J01,200607,20544
5,J01,200608,19184
5,J01,200609,37690
5,J01,200610,33126
5,J01,200611,41260
5,J01,200612,42424
5,J01,200701,40260
5,J01,200702,34073
5,J01,200703,39428
5,J01,200704,41440
5,J01,200705,35318
5,J01,200706,36341
5,J01,200707,34687
5,J01,200708,27899
5,J01,200709,49431
5,J01,200710,67973
5,J01,200711,80059
5,J01,200712,81735
5,J01,200801,71167
5,J01,200802,74178
5,J01,200803,74214
5,J01,200804,76631
5,J01,200805,62702
5,J01,200806,48277
5,J01,200807,32353
5,J01,200808,30551
5,J01,200809,48867
5,J01,200810,66017
5,J01,200811,71607
5,J01,200812,97215
5,J01,200901,74314
5,J01,200902,58678
5,J01,200903,73273
5,J01,200904,83908
5,J01,200905,61960
5,J01,200906,44691
5,J01,200907,34178
5,J01,200908,40600
5,J01,200909,67028
5,J01,200910,82829
5,J01,200911,77879
5,J01,200912,78446
5,J01,201001,66436
5,J01,201002,62638
5,J01,201003,80035
5,J01,201004,93718
5,J01,201005,73958
5,J01,201006,54894
5,J01,201007,40029
5,J01,201008,31914
5,J01,201009,58240
5,J01,201010,76959
5,J01,201011,87956
5,J01,201012,91666
5,J01,201101,65486
5,J01,201102,53826
5,J01,201103,73958
5,J01,201104,75462
5,J01,201105,62635
5,J01,201106,47740
5,J01,201107,35629
5,J01,201108,37574
5,J01,201109,60385
5,J01,201110,70938
5,J01,201111,73274
5,J01,201112,91254
5,J01,201201,78857
5,J01,201202,82763
5,J01,201203,85010
5,J01,201204,83672
5,J01,201205,71930
5,J01,201206,46969
5,J01,201207,37469
5,J01,201208,35440
5,J01,201209,64463
5,J01,201210,80321
5,J01,201211,82725
5,J01,201212,75237
5,J01,201301,69453
5,J01,201302,76023
5,J01,201303,80070
5,J01,201304,84530
5,J01,201305,65037
5,J01,201306,44129
5,J01,201307,37211
5,J01,201308,37144
5,J01,201309,61812
5,J01,201310,73290
5,J01,201311,84576
5,J01,201312,78278
