SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
2,J05,200401,1666
2,J05,200402,1658
2,J05,200403,2823
2,J05,200404,2518
2,J05,200405,2135
2,J05,200406,1685
2,J05,200407,1481
2,J05,200408,1134
2,J05,200409,1649
2,J05,200410,1992
2,J05,200411,2022
2,J05,200412,2037
2,J05,200501,1600
2,J05,200502,1258
2,J05,200503,2134
2,J05,200504,2814
2,J05,200505,2454
2,J05,200506,1668
2,J05,200507,1323
2,J05,200508,1136
2,J05,200509,1876
2,J05,200510,2269
2,J05,200511,2182
2,J05,200512,2851
2,J05,200601,1948
2,J05,200602,1635
2,J05,200603,1961
2,J05,200604,2507
2,J05,200605,2414
2,J05,200606,1769
2,J05,200607,1399
2,J05,200608,1425
2,J05,200609,2006
2,J05,200610,1759
2,J05,200611,2198
2,J05,200612,2418
2,J05,200701,2185
2,J05,200702,1573
2,J05,200703,1847
2,J05,200704,2576
2,J05,200705,2355
2,J05,200706,2646
2,J05,200707,2374
2,J05,200708,2136
2,J05,200709,3328
2,J05,200710,3757
2,J05,200711,3564
2,J05,200712,3844
2,J05,200801,3221
2,J05,200802,3766
2,J05,200803,3722
2,J05,200804,3693
2,J05,200805,3638
2,J05,200806,2944
2,J05,200807,1966
2,J05,200808,1808
2,J05,200809,2818
2,J05,200810,3680
2,J05,200811,3723
2,J05,200812,5004
2,J05,200901,3753
2,J05,200902,2565
2,J05,200903,3241
2,J05,200904,4157
2,J05,200905,3243
2,J05,200906,2807
2,J05,200907,2302
2,J05,200908,2311
2,J05,200909,3405
2,J05,200910,3754
2,J05,200911,3616
2,J05,200912,3315
2,J05,201001,2538
2,J05,201002,2280
2,J05,201003,3565
2,J05,201004,5082
2,J05,201005,4317
2,J05,201006,3415
2,J05,201007,2884
2,J05,201008,2207
2,J05,201009,3192
2,J05,201010,4130
2,J05,201011,3988
2,J05,201012,3968
2,J05,201101,2753
2,J05,201102,2057
2,J05,201103,2760
2,J05,201104,3205
2,J05,201105,3759
2,J05,201106,2858
2,J05,201107,2334
2,J05,201108,2419
2,J05,201109,3053
2,J05,201110,3591
2,J05,201111,3608
2,J05,201112,3887
2,J05,201201,3263
2,J05,201202,3225
2,J05,201203,3978
2,J05,201204,4331
2,J05,201205,3989
2,J05,201206,2438
2,J05,201207,3029
2,J05,201208,3172
2,J05,201209,3274
2,J05,201210,3174
2,J05,201211,3473
2,J05,201212,2722
2,J05,201301,2939
2,J05,201302,3631
2,J05,201303,4092
2,J05,201304,3761
2,J05,201305,3335
2,J05,201306,2683
2,J05,201307,2535
2,J05,201308,2832
2,J05,201309,3322
2,J05,201310,3600
2,J05,201311,3346
2,J05,201312,3025
